Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
burma	/'bә:mә/	n. 缅甸	n a mountainous republic in southeastern Asia on the Bay of Bengal	2	1	[S02E09] Alright, so, what, he's not a famous tree surgeon? And then, I guess, OK, he doesn't live in a hut in Burma where there'	S02E09(2)
burn	/bә:n/	vt. 烧, 烧毁, 烧伤	n. pain that feels hot as if it were on fire	34	30	[S01E05] That guy, he burns me up. ◆ [S01E07] It is. Eventually, it kind of... burns out. But hopefully, what you're left with is trust, and security, and... well, in ◆ [S01E09] Why? Because everything is my responsibility? Isn't it enough that I'm making Thanksgiving dinner for everyone? You know ◆ [S01E13] ...I d'know. Mr. Tribbiani: Then y'haven't. You're burning your tomatoes. ◆ [S01E14] Ok. We can, um, we can burn the stuff they gave us.	S01E05(1), S01E07(1), S01E09(1), S01E13(1), S01E14(2), S02E08(1), S02E12-E0213(1), S02E21(1), S03E04(1), S03E13(1), S03E14(2), S03E22(1), S03E23(1), S03E24(1), S04E13(1), S05E11(1), S05E13(1), S06E09(1), S06E18(3), S07E01(1), S07E03(1), S07E10(1), S08E05(1), S08E06(1), S08E08(1), S08E09(1), S09E07(1), S09E13(1), S09E23-E0924(1), S10E11(1)
burner	/'bә:nә/	n. 火炉, 烧火的人	n. an apparatus for burning fuel (or refuse)	2	1	[S03E21] I don’t believe this! Wow, look at this refrigerator! It’s gigantic! I mean I could live in this thing! I’d be cold, but	S03E21(2)
burnett	/bә(:)'net, 'bә:nit/	n. 伯内特（姓氏）	n. United States writer (born in England) remembered for her novels for children (1849-1924)	1	1	[S08E23] Clifford Burnett.	S08E23(1)
burnin		v. 腐蚀		2	2	[S03E14] Heard about the leg burnin’ huh? ◆ [S07E02] Oh, y’know what? It’s probably just your burnin’ loins.	S03E14(1), S07E02(1)
burp	/bә:p/	n. 饱嗝儿, 打嗝	v. expel gas from the stomach	4	3	[S08E20] Check if it’s wet, check if it’s hungry, burp it! ◆ [S09E02] The burping clogs? ◆ [S10E02] Well, alright, that's fine. What about Leslie? Frank Jr.: Oh, no, no. Not Leslie. No, she's, she's the only one that kno	S08E20(1), S09E02(2), S10E02(1)
burrito	/bә'ritәu/	n. 墨西哥玉米煎饼	n. a flour tortilla folded around a filling	1	1	[S07E10] Hi, could we get two burritos to go, please?	S07E10(1)
burst	/bә:st/	n. 破裂, 突发, 爆发	n. a sudden flurry of activity (often for no obvious reason)	5	5	[S01E11] ...And then he burst into flames. ◆ [S03E13] Right, right. Sometimes you guys just burst into flames. ◆ [S03E14] No. This is just part of a dare devil game that I play called ‘wait until the last moment before I burst and die.’ ◆ [S05E04] Are you calling you people?  Yeah, well sorry to burst that bubble, Pheebs, but selfless good deeds don't exist. Okay? A ◆ [S09E15] But I'm bursting with u-hu!	S01E11(1), S03E13(1), S03E14(1), S05E04(1), S09E15(1)
burt		伯特（人名）	n. English psychologist whose studies of twins were later said to have used fabricated data (1883-19	2	1	[S06E18] Burt!	S06E18(2)
bury	/'beri/	vt. 埋葬, 埋藏	v. cover from sight	8	7	[S01E08] Dad! Mr. Geller: Listen to me! When my time comes, I wanna be buried at sea. ◆ [S02E19] That sucks. I was buried in an avalanche. ◆ [S02E20] [pauses the tape] Ok, Ben, this is the part where Ernie buries Bert in the sand and can't find him. Now, I've looked ahe ◆ [S06E02] Don’t be worried about that! Your tombstone can say whatever you want it to say! It could say, Ross Geller, Good at Marr ◆ [S06E23] Yes, and it is my dying wish to have that ring. See, if I’m not buried with that ring then my spirit is going to wander 	S01E08(2), S02E19(1), S02E20(1), S06E02(1), S06E23(1), S07E14(1), S10E11(1)
bushy	/'buʃi/	a. 灌木一样的, 灌木茂密的, 浓密的	s. used of hair; thick and poorly groomed	1	1	[S05E06] Uhh, like dark hair, bushy beard?	S05E06(1)
busiest		a. 最忙的（busy的最高级形式）	a actively or fully engaged or occupied	1	1	[S01E14] Really? Fireman No. 2: Oh, sure, Valentine's is our busiest night of the year.	S01E14(1)
businesswoman	/'bizniswjmæn/	n. 商人, 办理实务的人, 经商者	n. a female businessperson	1	1	[S05E23] Hello. My name is Regina Phalange. I'm a businesswoman in town on business. Would you like to see my card?  Ooh, what di	S05E23(1)
bust	/bʌst/	n. 半身像, 胸部, 失败, 殴打	n. a sculpture of the head and shoulders of a person	9	8	[S01E09] Oh, really? So why was I busting my ass to make this delicious Thanksgiving dinner? ◆ [S02E05] Uh, aside from that, the whole evening was pretty much a bust. ◆ [S03E04] Oh, you caught me. I am so busted. ◆ [S04E14] Oh no wait, oh no, the elastic on my underwear busted. ◆ [S05E05] Oh, so your weekend was a total bust?	S01E09(1), S02E05(1), S03E04(1), S04E14(1), S05E05(1), S05E16(1), S05E18(1), S10E17-E1018(2)
buster	/'bʌstә/	n. 庞然大物, 非凡的人, 闹饮, 驯马人, 小家伙, 小鬼, 炸弹, 巨型炸弹	n. a robust child	1	1	[S08E23] Oh down please.  I-I hate to be a ball buster can I just do it?	S08E23(1)
busty	/'bʌsti/	a. 大胸脯的, 胸部丰满的	s (of a woman's body) having a large bosom and pleasing curves	1	1	[S06E15-E0616] Oh wait, don’t you have to pay for your,  Busty Ladies?	S06E15-E0616(1)
busy	/'bizi/	a. 忙碌的, 热闹的, 没空的	v. keep busy with	28	25	"[S01E11] Shhh, busy beaming with pride. Mrs. Bing:  ...This is kind of embarrassing, but occasionally after I've been intimate wi ◆ [S01E17] Dad, dad, dad, I'm talkin' about the whole uh, baby thing. Did you uh, ever get this sort of... panicky, ""Oh my god I'm  ◆ [S02E02] Oh, you're busy, that's ok, I'll get it. Anybody else want one? ◆ [S02E11] Yes, hi, Mr. Adelman. Thanks for meeting me. MR A: Oh, that's all right, although you did cut into my busy day of sittin ◆ [S03E17] Well, oh, I’m sorry your car broke down Pheebs, but I’m a little too busy with some of my real friends right now, but pl"	S01E11(1), S01E17(2), S02E02(1), S02E11(1), S03E17(1), S03E22(1), S04E06(1), S04E15(1), S05E07(1), S06E15-E0616(1), S06E18(1), S06E23(1), S06E24(1), S07E07(1), S07E10(1), S07E18(1), S07E22(1), S08E07(1), S08E08(2), S08E10(2), S08E15(1), S09E08(1), S09E11(1), S09E19(1), S10E06(1)
butch	/butʃ/	n. [俚]充当男性角色的女同性恋者；粗鲁的男人或男孩	n. (slang) offensive term for a lesbian who is noticeably masculine	2	2	[S08E13] Well, this does butch it up a bit. ◆ [S09E06] This... this is exactly what I'm talking about. What kind of a guy makes... makes... delicate French cookies, huh? They'	S08E13(1), S09E06(1)
butcher	/'butʃә/	n. 屠夫, 肉商, 小贩	n. a retailer of meat	2	2	[S07E02] Hey-hey, you’re startin’ to sound like the butcher’s wife there in-in chapter seven. ◆ [S07E03] Oh, you Americans always butcher the French language.	S07E02(1), S07E03(1)
butler	/'bʌtlә/	n. 男管家, 司膳总管	n. a manservant (usually the head servant of a household) who has charge of wines and the table	3	3	[S05E08] Oh, did the little rich boy have a problem with the butler? Yes, mine's worse! Thanksgiving 1862 ◆ [S06E15-E0616] Well uh, Archie needs money to fix his jalopy , uh but he doesn’t want Reggie to just give him the money. So Reggie hire ◆ [S09E19] Right, yeah, ok, I'll ask the butler to fetch my diamonds out of the vault.	S05E08(1), S06E15-E0616(1), S09E19(1)
buts	/bʌts/	n. 借口( but的复数形式 )		1	1	[S04E21] But I’ll tell you something. One of these days we’re get off of our buts and rent Die Hard again!	S04E21(1)
butt	/bʌt/	n. 粗大的一头, 烟头, 靶, 笑柄	n. thick end of the handle	69	43	[S01E01] I said that you had a nice butt, it's just not a great butt. ◆ [S01E04] White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt? ◆ [S01E06] ...I'm his butt double. 'Kay? I play Al Pacino's butt. Alright? He goes into the shower, and then- I'm his butt. ◆ [S01E12] Ah...ooh! Well, looks like, uh, we kicked your butts. ◆ [S01E15] Well if you can't talk dirty to me, how're you going to talk dirty to her? Now tell me you want to caress my butt!	S01E01(3), S01E04(1), S01E06(7), S01E12(2), S01E15(1), S01E19(2), S02E04(1), S02E06(1), S02E07(2), S02E11(1), S02E12-E0213(1), S02E15(3), S02E17(1), S02E20(1), S02E21(2), S02E23(1), S02E24(1), S03E01(1), S03E02(1), S03E04(1), S03E06(1), S03E11(1), S03E17(1), S03E18(1), S03E20(1), S03E21(1), S03E23(2), S03E24(4), S04E03(1), S04E23-uncut(1), S05E01(1), S05E14(3), S05E23(1), S06E20(2), S07E09(2), S07E12(1), S08E06(1), S08E19(2), S09E07(3), S09E12(1), S09E18(2), S10E08(1), S10E11(1)
butter	/'bʌtә/	n. 奶油, 黄油	n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use	17	15	[S01E09] I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head. ◆ [S01E12] Well, let's just say the impressions you made in the butter left little to the imagination. ◆ [S01E20] Y'know, it was, uh.. it was actually really great. He took me to lunch at the Russian Tea Room, and I had that chicken,  ◆ [S02E06] Uh, I don't know, butter, eggs, flour, lime, kiwi-- ◆ [S02E10] She's just upset because she, uh, she buttered a spider into her toast this morning.	S01E09(1), S01E12(1), S01E20(1), S02E06(1), S02E10(1), S02E12-E0213(1), S05E22(2), S06E08(1), S06E09(1), S07E17(1), S08E05(1), S08E15(1), S08E21(1), S09E19(2), S10E06(1)
butterfly	/'bʌtәflai/	n. 蝴蝶	n. diurnal insect typically having a slender body with knobbed antennae and broad colorful wings	1	1	[S08E18] Somewhere there is someone with a tranquilizer gun and a huge butterfly net looking for that man.	S08E18(1)
butternut	/'bʌtәnʌt/	n. 灰胡桃	n. North American walnut tree having light-brown wood and edible nuts; source of a light-brown dye	1	1	"[S05E08] Hey, I wasn't the only one who looked like an idiot. All right? Remember when Ross tried to say, ""Butternut squash?"" And"	S05E08(1)
butterscotch	/'bʌtәskɒtʃ/	n. 奶油糖果	n. a hard brittle candy made with butter and brown sugar	1	1	[S02E11] [Mrs. Adelman's voice] Butterscotch? No one? All right, you'll be sorry later.	S02E11(1)
buttery	/'bʌtәri/	n. 配膳室	n. a teashop where students in British universities can purchase light meals	1	1	[S07E11] It was cheesecake. It was fine. It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream chees	S07E11(1)
buttock	/'bʌtәk/	n. 半边臀部, 屁股, 船尾突出部	n. either of the two large fleshy masses of muscular tissue that form the human rump	2	2	[S03E24] No, no. It-it’s not about the swearing, it’s more about ah, the way, that you ah, occasionally, concentrate, your enthus ◆ [S08E23] What is that? Dr. Long: It’s the baby’s buttock, she’s breech.	S03E24(1), S08E23(1)
buzz	/bʌz/	n. 嗡嗡声, 流言	n. sound of rapid vibration	11	11	[S01E01] Oh God, is it 6:30?  Buzz him in! ◆ [S02E07] [doorbell buzzes] That's, that's Julie. Ju... Julie, Julie. [talks on intercom] Hi Julie. ◆ [S02E08] [coldly] When somebody does not buzz you in, Ross, that means go away. That doesn't mean please climb up the fire escape ◆ [S02E15] Uh, two larges, extra cheese on both. But listen, don't ring the buzzer for 19, ring 20, Geller-Green, they'll let you i ◆ [S02E20] [doorbell buzzes] Hello.	S01E01(1), S02E07(1), S02E08(1), S02E15(1), S02E20(1), S02E24(1), S03E09(1), S04E22(1), S08E22(1), S09E17(1), S09E19(1)
buzzer	/'bʌzә/	n. 嗡嗡作声的东西, 蜂音器	n. a signaling device that makes a buzzing sound	5	4	[S02E15] Uh, two larges, extra cheese on both. But listen, don't ring the buzzer for 19, ring 20, Geller-Green, they'll let you i ◆ [S02E22] Chandler could you at least send some women to my party? [buzzer goes off] Alright that's Ross. ◆ [S03E09] Uh, hello, the buzzer buzzed. It doesn’t count. ◆ [S07-Outtakes] It was a little game. Yeah, with an electric buzzer.	S02E15(1), S02E22(1), S03E09(2), S07-Outtakes(1)
bye	/bai/	interj. 再会, 回头见	n. you advance to the next round in a tournament without playing an opponent	281	110	[S01E05] Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel. ◆ [S01E08] G'bye, Nana. ◆ [S01E15] Oh... that's too bad. Bye bye. ◆ [S01E18] Bye... bye... BIRDIE. ◆ [S01E20] Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!	S01E05(1), S01E08(1), S01E15(2), S01E18(2), S01E20(1), S01E21(3), S01E22(10), S02E01(5), S02E02(3), S02E10(5), S02E12-E0213(4), S02E15(2), S02E18(3), S02E20(14), S02E23(8), S02E24(5), S03E01(1), S03E02(1), S03E03(2), S03E05(1), S03E06(4), S03E09(1), S03E11(1), S03E12(2), S03E14(3), S03E15(3), S03E16(1), S03E17(3), S03E18(2), S03E19(1), S03E20(2), S03E21(2), S03E22(5), S03E24(1), S04E01(1), S04E06(1), S04E07(2), S04E09(2), S04E13(1), S04E15(7), S04E16(1), S04E18(3), S04E21(1), S04E23(3), S04E23-uncut(4), S05E01(1), S05E02(1), S05E03(4), S05E05(1), S05E06(2), S05E10(1), S05E11(1), S05E14(4), S05E17(1), S05E19(1), S05E20(5), S05E21(1), S05E22(6), S06E02(3), S06E06(3), S06E07(3), S06E09(1), S06E10(2), S06E11(4), S06E14(1), S06E15-E0616(2), S06E19(2), S06E20(1), S06E21(3), S06E23(1), S07E04(2), S07E06(1), S07E07(4), S07E11(1), S07E15(1), S07E16(2), S07E17(1), S07E18(4), S07E21(4), S08E03(2), S08E05(2), S08E07(3), S08E08(2), S08E10(3), S08E11(2), S08E15(1), S08E19(1), S08E23(1), S09E03(7), S09E05(5), S09E08(1), S09E09(7), S09E12(2), S09E13(2), S09E14(2), S09E16(3), S09E17(2), S09E18(2), S09E20(1), S09E22(3), S09E23-E0924(2), S10E01(2), S10E02(1), S10E04(5), S10E05(3), S10E10(1), S10E12(1), S10E15(1), S10E16(1), S10E17-E1018(4)
byzantine	/bi'zæntain/	a. 拜占庭帝国的, 拜占庭式的	n. a native or inhabitant of Byzantium or of the Byzantine Empire	1	1	[S09E21] Ok, when you walk in the museum, take the right, that's the antiquities wing. Ancient Egypt, Mesopotamia, up to the Byza	S09E21(1)
cab	/kæb/	n. 出租车, 出租汽车, 出租马车	n. a compartment at the front of a motor vehicle or locomotive where driver sits	70	38	[S01E10] No. Okay. I was at the airport, getting into a cab, when this woman- this blonde planet with a pocketbook- starts yellin ◆ [S01E14] She's checking the coats. Joey, I'm gonna go wash the cab smell off my hands. Will you get me a white Zinfandel, and a g ◆ [S01E15] In the cab, on the way over, Steve blazed up a doobie. ◆ [S01E22] Yeah, save it for the cab, okay. ◆ [S01E23] God, I don't believe this. She could be giving birth in the cab.	S01E10(3), S01E14(1), S01E15(1), S01E22(2), S01E23(1), S02E01(2), S02E07(3), S02E09(6), S02E10(1), S02E19(5), S02E20(2), S02E21(2), S02E23(1), S03E02(3), S03E03(1), S03E17(3), S03E21(1), S04E01(1), S04E09(1), S04E17(3), S05E02(1), S05E03(1), S05E22(1), S05E23(1), S06E01(2), S06E02(1), S06E20(1), S07E23(1), S08E10(1), S08E12(1), S08E18(1), S08E23(2), S09E02(1), S09E06(2), S09E22(1), S09E23-E0924(1), S10E10(1), S10E17-E1018(7)
cabana	/kә'bɑ:nә/	n. 小屋	n. a small tent used as a dressing room beside the sea or a swimming pool	2	1	[S02E24] Oh my God this is sooo humiliating. I think the only thing that tops that was, was, was when I was in the eight grade an	S02E24(2)
cabbage	/'kæbidʒ/	n. 卷心菜	n. any of various types of cabbage	1	1	[S10E08] Oh, take the clothes of Joey's Cabbage Patch Kid.	S10E08(1)
cabin	/'kæbin/	n. 小屋, 客舱	n. small room on a ship or boat where people sleep	8	5	[S02E10] And for our two-week anniversary, he's gonna take me to his cousin's cabin for the weekend. ◆ [S03E14] All right!! Okay, it was like four years ago. Okay, Ginger and I had gone out a few times, and then this one weekend, we ◆ [S03E17] Hi! Uhh, do you guys have plans for the weekend? Because I have my sister on hold, and she said that we could use her ca ◆ [S09E06] Was your cabin pressurised? ◆ [S10E01] Uhm... You know, once we're in the air and the captain turns off the seatbelt sign... you feel free to roam about my cab	S02E10(2), S03E14(1), S03E17(3), S09E06(1), S10E01(1)
